SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L2P24D12	77	100	ASV_170	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_halophytocola	0	NA	NA	NA
L1P15D1	84	85.71	ASV_170	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_halophytocola	13	13.27	ASV_11	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas_mexicana
L1P26H5	168	100	ASV_171	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Bosea_eneae	0	NA	NA	NA
L1P36G7	82	100	ASV_171	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Bosea_eneae	0	NA	NA	NA
L1P08G12	77	100	ASV_171	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Bosea_eneae	0	NA	NA	NA
L2P02E6	94	100	ASV_172	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus;Phycicoccus_jejuensis	0	NA	NA	NA
L2P30C9	91	100	ASV_172	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus;Phycicoccus_jejuensis	0	NA	NA	NA
L2P41C12	41	100	ASV_172	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus;Phycicoccus_jejuensis	0	NA	NA	NA
L2P18A3	10	90.91	ASV_172	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus;Phycicoccus_jejuensis	1	9.09	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae
L2P17F11	50	84.75	ASV_172	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus;Phycicoccus_jejuensis	8	13.56	ASV_18	Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas;Cellulomonas_oligotrophica
